,fdc_id,data_type,description,food_category_id,publication_date,brand_owner,brand_name,subbrand_name,gtin_upc,ingredients,not_a_significant_source_of,serving_size,serving_size_unit,household_serving_fulltext,branded_food_category,data_source,package_weight,modified_date,available_date,market_country,discontinued_date,preparation_state_code,trade_channel,short_description,nutrient_id,amount,data_points,derivation_id,min,max,median,loq,footnote,min_year_acquired,nutrient_name,unit_name
1521,1127043,branded_food,"ALMOND BUTTER PLANT-BASED PROTEIN BAR, ALMOND BUTTER",,2020-11-13,Bright Bar,,,856347008083,"ALMONDS, PREBIOTIC FIBER (FROM TAPIOCA), BRIGHT ORGANIC PROTEIN BLEND (ORGANIC PUMPKIN PROTEIN, ORGANIC PEA PROTEIN, ORGANIC BROWN RICE PROTEIN), ORGANIC COCONUT NECTAR, BRIGHT SUPERFOOD BLEND (APPLE POWDER, BANANA POWDER, COCONUT MILK POWDER, KALE POWDER, SPINACH POWDER, ORGANIC REISHI POWDER, ORGANIC MACA POWDER), SUNFLOWER OIL, SUNFLOWER LECITHIN, SALT, VITAMIN E",,59.0,g,,En. tyčinky,LI,,2020-04-08,2020-11-13,United States,,,,,1004,30.51,,70.0,,,,,,,Lipid (tuk),G
1522,1127043,branded_food,"ALMOND BUTTER PLANT-BASED PROTEIN BAR, ALMOND BUTTER",,2020-11-13,Bright Bar,,,856347008083,"ALMONDS, PREBIOTIC FIBER (FROM TAPIOCA), BRIGHT ORGANIC PROTEIN BLEND (ORGANIC PUMPKIN PROTEIN, ORGANIC PEA PROTEIN, ORGANIC BROWN RICE PROTEIN), ORGANIC COCONUT NECTAR, BRIGHT SUPERFOOD BLEND (APPLE POWDER, BANANA POWDER, COCONUT MILK POWDER, KALE POWDER, SPINACH POWDER, ORGANIC REISHI POWDER, ORGANIC MACA POWDER), SUNFLOWER OIL, SUNFLOWER LECITHIN, SALT, VITAMIN E",,59.0,g,,En. tyčinky,LI,,2020-04-08,2020-11-13,United States,,,,,1003,20.34,,70.0,,,,,,,Protein,G
1987,1133784,branded_food,"WHITE CHOCOLATE HIGH PROTEIN BAR, WHITE CHOCOLATE",,2020-11-13,"ThinkThin, LLC",,,753656706351,"PROTEIN BLEND (SOY PROTEIN ISOLATE, WHEY PROTEIN ISOLATE, CALCIUM CASEINATE, WHEY PROTEIN CONCENTRATE), MALTITOL SYRUP, VEGETABLE GLYCERIN, ALMOND BUTTER, WATER, PALM KERNEL OIL, SUNFLOWER OIL, NATURAL FLAVOR, LECITHIN, TAPIOCA STARCH, SALT.",,60.0,g,,En. tyčinky,LI,,2020-04-30,2020-11-13,United States,,,,,1004,13.33,,70.0,,,,,,,Lipid (tuk),G
1988,1133784,branded_food,"WHITE CHOCOLATE HIGH PROTEIN BAR, WHITE CHOCOLATE",,2020-11-13,"ThinkThin, LLC",,,753656706351,"PROTEIN BLEND (SOY PROTEIN ISOLATE, WHEY PROTEIN ISOLATE, CALCIUM CASEINATE, WHEY PROTEIN CONCENTRATE), MALTITOL SYRUP, VEGETABLE GLYCERIN, ALMOND BUTTER, WATER, PALM KERNEL OIL, SUNFLOWER OIL, NATURAL FLAVOR, LECITHIN, TAPIOCA STARCH, SALT.",,60.0,g,,En. tyčinky,LI,,2020-04-30,2020-11-13,United States,,,,,1003,33.33,,70.0,,,,,,,Protein,G
5992,393002,branded_food,GRANOLA BARS,,2019-04-01,KIND Inc.,,,602652184048,"WHOLE GRAIN BLEND (OATS, BROWN RICE, MILLET, OAT FLOUR, BUCKWHEAT, AMARANTH, QUINOA), TAPIOCA SYRUP, DRIED CANE SYRUP, HONEY, CANOLA OIL, BROWN RICE SYRUP, GUM ACACIA, VANILLA EXTRACT, BLUEBERRY PUREE, APPLE PUREE, PLUM PUREE, APPLE JUICE, GLYCERINE, SEA SALT, VITAMIN E (TO MAINTAIN FRESHNESS), CITRUS FIBER, CITRUS PECTIN, NATURAL FLAVOR.",,35.0,g,1 BAR,En. tyčinky,LI,,2018-03-10,2019-04-01,United States,,,,,1004,11.43,,70.0,,,,,,,Lipid (tuk),G
5993,393002,branded_food,GRANOLA BARS,,2019-04-01,KIND Inc.,,,602652184048,"WHOLE GRAIN BLEND (OATS, BROWN RICE, MILLET, OAT FLOUR, BUCKWHEAT, AMARANTH, QUINOA), TAPIOCA SYRUP, DRIED CANE SYRUP, HONEY, CANOLA OIL, BROWN RICE SYRUP, GUM ACACIA, VANILLA EXTRACT, BLUEBERRY PUREE, APPLE PUREE, PLUM PUREE, APPLE JUICE, GLYCERINE, SEA SALT, VITAMIN E (TO MAINTAIN FRESHNESS), CITRUS FIBER, CITRUS PECTIN, NATURAL FLAVOR.",,35.0,g,1 BAR,En. tyčinky,LI,,2018-03-10,2019-04-01,United States,,,,,1003,5.71,,70.0,,,,,,,Protein,G
6190,395651,branded_food,CRUNCHY PEANUT BUTTER,,2019-04-01,Clif Bar and Company,,,722252166128,"ORGANIC BROWN RICE SYRUP, CLIFPRO (SOY RICE CRISPS [SOY PROTEIN ISOLATE, RICE FLOUR, BARLEY MALT EXTRACT], ORGANIC SOY FLOUR, ORGANIC ROASTED SOYBEANS), ORGANIC ROLLED OATS, ORGANIC CANE SYRUP, ORGANIC PEANUT BUTTER (ORGANIC PEANUTS, SALT), PEANUT FLOUR, PEANUTS, CLIFCRUNCH (APPLE FIBER, ORGANIC OAT FIBER, INULIN [CHICORY EXTRACT], ORGANIC MILLED FLAXSEED, ORGANIC PSYLLIUM), ORGANIC DATE PASTE, NATURAL FLAVORS, SEA SALT. VITAMINS & MINERALS: DICALCIUM PHOSPHATE, ASCORBIC ACID (VIT. C), MAGNESIUM OXIDE, DL-ALPHA TOCOPHERYL ACETATE (VIT. E), FERRIC ORTHOPHOSPHATE (IRON), BETA CAROTENE (VIT. A), ZINC CITRATE, BIOTIN, NIACINAMIDE (VIT. B3), D-CALCIUM PANTOTHENATE (VIT. B5), PHYTONADIONE (VIT. K1), MANGANESE GLUCONATE, COPPER GLUCONATE, RIBOFLAVIN (VIT. B2), FOLIC ACID (VIT. B9), SODIUM SELENITE, THIAMIN (VIT. B1), PYRIDOXINE HYDROCHLORIDE (VIT. B6), ERGOCALCIFEROL (VIT. D2), CYANOCOBALAMIN (VIT. B12), CHROMIUM CHLORIDE, POTASSIUM IODIDE.",,68.0,g,1 BAR,En. tyčinky,LI,,2018-09-19,2019-04-01,United States,,,,,1004,8.82,,70.0,,,,,,,Lipid (tuk),G
6191,395651,branded_food,CRUNCHY PEANUT BUTTER,,2019-04-01,Clif Bar and Company,,,722252166128,"ORGANIC BROWN RICE SYRUP, CLIFPRO (SOY RICE CRISPS [SOY PROTEIN ISOLATE, RICE FLOUR, BARLEY MALT EXTRACT], ORGANIC SOY FLOUR, ORGANIC ROASTED SOYBEANS), ORGANIC ROLLED OATS, ORGANIC CANE SYRUP, ORGANIC PEANUT BUTTER (ORGANIC PEANUTS, SALT), PEANUT FLOUR, PEANUTS, CLIFCRUNCH (APPLE FIBER, ORGANIC OAT FIBER, INULIN [CHICORY EXTRACT], ORGANIC MILLED FLAXSEED, ORGANIC PSYLLIUM), ORGANIC DATE PASTE, NATURAL FLAVORS, SEA SALT. VITAMINS & MINERALS: DICALCIUM PHOSPHATE, ASCORBIC ACID (VIT. C), MAGNESIUM OXIDE, DL-ALPHA TOCOPHERYL ACETATE (VIT. E), FERRIC ORTHOPHOSPHATE (IRON), BETA CAROTENE (VIT. A), ZINC CITRATE, BIOTIN, NIACINAMIDE (VIT. B3), D-CALCIUM PANTOTHENATE (VIT. B5), PHYTONADIONE (VIT. K1), MANGANESE GLUCONATE, COPPER GLUCONATE, RIBOFLAVIN (VIT. B2), FOLIC ACID (VIT. B9), SODIUM SELENITE, THIAMIN (VIT. B1), PYRIDOXINE HYDROCHLORIDE (VIT. B6), ERGOCALCIFEROL (VIT. D2), CYANOCOBALAMIN (VIT. B12), CHROMIUM CHLORIDE, POTASSIUM IODIDE.",,68.0,g,1 BAR,En. tyčinky,LI,,2018-09-19,2019-04-01,United States,,,,,1003,16.18,,70.0,,,,,,,Protein,G
6220,395696,branded_food,ORGANIC WHOLE GRAIN ENERGY SNACK BAR,,2019-04-01,Clif Bar and Company,,,722252192240,"ORGANIC OAT BLEND (ORGANIC ROLLED OATS, ORGANIC OAT FLOUR, ORGANIC OAT FIBER), ORGANIC TAPIOCA SYRUP, ORGANIC CHOCOLATE CHIPS (ORGANIC DRIED CANE SYRUP, ORGANIC UNSWEETENED CHOCOLATE, ORGANIC COCOA BUTTER, ORGANIC SOY LECITHIN, ORGANIC VANILLA EXTRACT), ORGANIC FIG PASTE, ORGANIC CANE SYRUP, ORGANIC MAPLE SYRUP, ORGANIC SOY BUTTER (ORGANIC ROASTED SOYBEANS, ORGANIC SOYBEAN OIL, SALT), ORGANIC MILLED FLAXSEED, NATURAL FLAVORS, BAKING SODA, SEA SALT. VITAMINS & MINERALS: CALCIUM CARBONATE, DICALCIUM PHOSPHATE, ASCORBIC ACID (VIT. C), FERRIC ORTHOPHOSPHATE (IRON), ZINC OXIDE, NIACINAMIDE (VIT. B3), BETA CAROTENE (VIT. A), THIAMINE MONONITRATE (VIT. B1), RIBOFLAVIN (VIT. B2), PYRIDOXINE HYDROCHLORIDE (VIT. B6), FOLIC ACID (VIT. B9), CYANOCOBALAMIN (VIT. B12).",,36.0,g,1 BAR,En. tyčinky,LI,,2018-03-11,2019-04-01,United States,,,,,1004,9.72,,70.0,,,,,,,Lipid (tuk),G
6221,395696,branded_food,ORGANIC WHOLE GRAIN ENERGY SNACK BAR,,2019-04-01,Clif Bar and Company,,,722252192240,"ORGANIC OAT BLEND (ORGANIC ROLLED OATS, ORGANIC OAT FLOUR, ORGANIC OAT FIBER), ORGANIC TAPIOCA SYRUP, ORGANIC CHOCOLATE CHIPS (ORGANIC DRIED CANE SYRUP, ORGANIC UNSWEETENED CHOCOLATE, ORGANIC COCOA BUTTER, ORGANIC SOY LECITHIN, ORGANIC VANILLA EXTRACT), ORGANIC FIG PASTE, ORGANIC CANE SYRUP, ORGANIC MAPLE SYRUP, ORGANIC SOY BUTTER (ORGANIC ROASTED SOYBEANS, ORGANIC SOYBEAN OIL, SALT), ORGANIC MILLED FLAXSEED, NATURAL FLAVORS, BAKING SODA, SEA SALT. VITAMINS & MINERALS: CALCIUM CARBONATE, DICALCIUM PHOSPHATE, ASCORBIC ACID (VIT. C), FERRIC ORTHOPHOSPHATE (IRON), ZINC OXIDE, NIACINAMIDE (VIT. B3), BETA CAROTENE (VIT. A), THIAMINE MONONITRATE (VIT. B1), RIBOFLAVIN (VIT. B2), PYRIDOXINE HYDROCHLORIDE (VIT. B6), FOLIC ACID (VIT. B9), CYANOCOBALAMIN (VIT. B12).",,36.0,g,1 BAR,En. tyčinky,LI,,2018-03-11,2019-04-01,United States,,,,,1003,5.56,,70.0,,,,,,,Protein,G
